BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ENERGYSTARScore,SiteEUIWN(kBtu/sf),GHGEmissionsIntensity,CategorieEnergie,ZipCode,TaxParcelId,LargestPropertyUseType
NonResidential,Retail Store,north,1965,2,0,168619,78.0,38.79999924,0.54,Électricité,98125.0,32260,Retail Store
NonResidential,Mixed Use Property,lake union,2002,5,113318,138509,,284.7000122,4.59,Électricité & GazNaturel,98102.0,33839,Parking
NonResidential,Large Office,lake union,2000,4,71385,104500,91.0,62.40000153,0.26,Électricité,98109.0,34818,Office
NonResidential,Warehouse,greater duwamish,1969,2,0,104786,93.0,11.0,0.23,Électricité & GazNaturel,98134.0,35732,Non-Refrigerated Warehouse
NonResidential,Other,greater duwamish,2000,1,41600,11440,,37.0,0.94,Électricité & GazNaturel,98134.0,35732,Other
NonResidential,Other,greater duwamish,1973,1,0,110689,,25.20000076,0.97,GazNaturel,98134.0,35737,Other
NonResidential,Small- and Mid-Sized Office,greater duwamish,1948,1,0,53620,86.0,40.0,0.41,Électricité,98134.0,35737,Office
NonResidential,Small- and Mid-Sized Office,greater duwamish,1938,1,0,50008,62.0,67.59999847,1.31,Électricité,98134.0,35737,Office
NonResidential,Large Office,magnolia / queen anne,2009,4,100176,191000,98.0,34.20000076,0.17,Électricité,98119.0,38799,Office
NonResidential,Warehouse,greater duwamish,1957,1,0,50832,63.0,50.20000076,2.11,GazNaturel,98134.0,39579,Non-Refrigerated Warehouse
NonResidential,Refrigerated Warehouse,greater duwamish,1971,1,0,76354,70.0,36.5,0.27,Électricité,98108.0,39589,Refrigerated Warehouse
NonResidential,Warehouse,greater duwamish,1956,1,0,98480,65.0,29.39999962,0.4,Électricité,98134.0,39589,Non-Refrigerated Warehouse
NonResidential,Mixed Use Property,lake union,1904,2,0,53002,75.0,67.19999695,1.21,Électricité,98103.0,40833,Retail Store
NonResidential,Mixed Use Property,lake union,2008,3,51218,124700,,235.6000061,3.64,Électricité & GazNaturel,98102.0,40888,Office
NonResidential,Other,lake union,1920,3,63782,106003,,183.1999969,2.39,Électricité & GazNaturel,98102.0,40888,Other
NonResidential,Large Office,lake union,1971,11,0,124721,58.0,115.0,2.93,Électricité & GazNaturel,98109.0,40888,Office
NonResidential,Small- and Mid-Sized Office,lake union,1970,7,0,94002,70.0,60.29999924,0.42,Électricité,98109.0,40888,Office
NonResidential,Warehouse,greater duwamish,1974,1,0,93020,60.0,13.5,0.09,Électricité,98108.0,50844,Non-Refrigerated Warehouse
NonResidential,Other,downtown,1946,1,0,23000,,36.79999924,1.12,GazNaturel & Électricité,98121.0,6530,Other
NonResidential,Supermarket / Grocery Store,southeast,2002,1,0,61053,32.0,249.1999969,5.02,Électricité & GazNaturel,98118.0,50874,Supermarket/Grocery Store
NonResidential,Small- and Mid-Sized Office,downtown,1904,5,0,78920,88.0,36.0,0.25,Électricité,98104.0,52478,Office
NonResidential,Small- and Mid-Sized Office,downtown,1906,7,0,99440,64.0,75.0,1.35,Électricité,98104.0,52478,Office
NonResidential,Small- and Mid-Sized Office,downtown,1907,6,0,73260,82.0,47.29999924,0.27,Électricité,98104.0,52478,Office
NonResidential,Small- and Mid-Sized Office,downtown,1900,4,0,69817,87.0,39.20000076,1.1,Électricité & Vapeur,98104.0,52478,Office
NonResidential,Small- and Mid-Sized Office,downtown,1900,4,0,84750,,30.79999924,0.31,Électricité,98104.0,52478,Office
NonResidential,Small- and Mid-Sized Office,downtown,1900,6,13320,62176,,62.09999847,0.33,Électricité,98104.0,52478,Office
NonResidential,Large Office,downtown,1900,4,0,164380,79.0,53.90000153,0.79,Électricité,98104.0,52478,Office
NonResidential,Large Office,downtown,1907,7,0,160580,98.0,28.0,0.62,Électricité & GazNaturel,98104.0,52478,Office
Nonresidential COS,Other,downtown,1906,3,0,67755,,31.0,0.2,Électricité,98104.0,52478,Other
NonResidential,Mixed Use Property,greater duwamish,1910,3,0,56700,37.0,43.40000153,0.56,Électricité,98134.0,76662,Office
NonResidential,Warehouse,greater duwamish,1922,1,0,82852,83.0,30.20000076,0.79,GazNaturel & Électricité,98134.0,76662,Non-Refrigerated Warehouse
NonResidential,Other,greater duwamish,1953,2,0,76442,,60.59999847,1.73,GazNaturel & Électricité,98134.0,76662,Other
NonResidential,Distribution Center,greater duwamish,1962,2,0,92792,56.0,35.09999847,0.8,Électricité & GazNaturel,98134.0,76662,Distribution Center
NonResidential,Other,greater duwamish,1941,2,0,125519,,15.69999981,0.12,Électricité,98134.0,76662,Manufacturing/Industrial Plant
NonResidential,Large Office,greater duwamish,1900,4,25800,103200,80.0,41.70000076,0.24,Électricité,98134.0,76662,Office
NonResidential,Warehouse,greater duwamish,1954,1,0,78814,69.0,11.60000038,0.21,Électricité,98134.0,76662,Non-Refrigerated Warehouse
NonResidential,Small- and Mid-Sized Office,greater duwamish,1904,4,0,58970,,32.79999924,0.7,Électricité & GazNaturel,98134.0,76662,Office
NonResidential,Distribution Center,greater duwamish,1910,6,10800,64800,15.0,43.70000076,0.25,Électricité,98134.0,76662,Distribution Center
NonResidential,Distribution Center,greater duwamish,1907,4,0,56270,,18.79999924,0.13,Électricité,98134.0,76662,Distribution Center
NonResidential,Small- and Mid-Sized Office,downtown,1904,4,0,66842,31.0,103.5,2.07,Électricité & GazNaturel,98104.0,76662,Office
NonResidential,Small- and Mid-Sized Office,downtown,1909,6,10800,64488,81.0,45.40000153,0.27,Électricité,98104.0,76662,Office
NonResidential,Large Office,downtown,1904,7,0,184322,81.0,52.70000076,0.37,Électricité,98104.0,76662,Office
NonResidential,Large Office,downtown,2009,7,0,287853,43.0,89.40000153,0.63,Électricité,98104.0,76662,Office
NonResidential,Small- and Mid-Sized Office,greater duwamish,1914,2,0,64512,53.0,97.09999847,2.8,GazNaturel & Électricité,98134.0,76662,Office
NonResidential,Mixed Use Property,greater duwamish,2009,6,111774,174226,,362.6000061,1.56,Électricité,98134.0,76662,Parking
NonResidential,Warehouse,greater duwamish,1926,7,0,144050,26.0,30.20000076,0.68,Électricité & GazNaturel,98134.0,76662,Non-Refrigerated Warehouse
NonResidential,Small- and Mid-Sized Office,greater duwamish,1930,3,0,60592,16.0,84.59999847,0.78,Électricité,98104.0,76662,Office
NonResidential,Large Office,greater duwamish,1912,6,0,1380959,79.0,50.09999847,0.59,Électricité,98134.0,76662,Office
NonResidential,Retail Store,greater duwamish,1993,1,0,107930,57.0,70.5,0.93,Électricité,98134.0,76662,Retail Store
NonResidential,Warehouse,greater duwamish,1926,1,0,99084,83.0,18.60000038,0.5,GazNaturel & Électricité,98134.0,76662,Non-Refrigerated Warehouse
NonResidential,Distribution Center,delridge,1953,1,0,72719,28.0,38.20000076,0.59,Électricité,98106.0,76667,Distribution Center
NonResidential,Small- and Mid-Sized Office,east,1930,4,0,76624,91.0,41.29999924,0.44,Électricité,98134.0,76698,Office
NonResidential,Small- and Mid-Sized Office,northeast,2001,6,36583,55123,2.0,150.3000031,0.65,Électricité,98105.0,77336,Office
NonResidential,Medical Office,lake union,2008,5,39902,89191,6.0,210.0,3.7,Électricité & GazNaturel,98109.0,78635,Medical Office
NonResidential,Large Office,delridge,1991,5,16221,121885,41.0,70.40000153,0.42,Électricité,98106.0,78815,Office
NonResidential,Retail Store,greater duwamish,1973,1,0,56572,66.0,44.90000153,1.19,Électricité & GazNaturel,98108.0,78861,Retail Store
NonResidential,Medical Office,east,2004,0,0,225982,53.0,103.6999969,3.06,Électricité & Vapeur,98104.0,87259,Medical Office
NonResidential,Mixed Use Property,downtown,2006,0,0,516407,31.0,78.90000153,1.42,Électricité,98121.0,87297,Parking
NonResidential,Large Office,downtown,2000,11,0,312512,,82.40000153,0.59,Électricité,98104.0,88097,Office
NonResidential,Large Office,downtown,2005,42,0,1592914,97.0,45.5,0.3,Électricité,98101.0,91845,Office
NonResidential,Small- and Mid-Sized Office,downtown,1926,6,0,97720,,33.70000076,0.18,Électricité,98101.0,19757,Office
NonResidential,Medical Office,east,1985,10,206580,215923,46.0,87.40000153,0.45,Électricité,98104.0,61084,Medical Office
NonResidential,Medical Office,central,1987,7,0,94500,68.0,50.5,0.43,Électricité,98122.0,79426,Medical Office
NonResidential,Retail Store,delridge,2005,1,0,94713,79.0,53.0,1.0,Électricité,98106.0,79854,Retail Store
NonResidential,Medical Office,east,2008,9,101342,201560,58.0,73.5,0.43,Électricité,98122.0,85904,Medical Office
NonResidential,Medical Office,east,1973,19,156407,163504,50.0,90.69999695,1.12,Électricité,98104.0,85909,Medical Office
NonResidential,Large Office,downtown,1900,6,0,205521,94.0,58.90000153,1.37,Mixte,98104.0,85914,Office
NonResidential,Small- and Mid-Sized Office,downtown,1900,6,0,56700,55.0,54.29999924,0.38,Électricité,98104.0,85914,Office
NonResidential,Small- and Mid-Sized Office,greater duwamish,1925,4,0,72000,89.0,38.0,0.33,Électricité,98134.0,85929,Office
NonResidential,Large Office,magnolia / queen anne,2000,4,94892,96254,93.0,49.5,0.19,Électricité,98109.0,88079,Office
NonResidential,Other,delridge,2001,3,11527,57236,,191.8999939,4.51,GazNaturel & Électricité,98121.0,93580,Other - Recreation
NonResidential,Other,southeast,1994,1,0,102133,,199.3000031,5.2,Électricité & GazNaturel,98118.0,98342,Strip Mall
NonResidential,Large Office,downtown,2008,14,0,362046,86.0,66.59999847,0.32,Électricité,98101.0,22850,Office
NonResidential,Other,magnolia / queen anne,1994,2,0,81336,,164.1999969,3.32,Électricité,98109.0,51610,Lifestyle Center
NonResidential,Large Office,downtown,2001,23,0,538933,90.0,44.59999847,0.21,Électricité,98101.0,53429,Office
NonResidential,Other,downtown,1983,6,197130,78852,,66.40000153,0.13,Électricité,98121.0,67809,Parking
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,1982,5,0,98668,91.0,44.5,0.31,Électricité,98119.0,70153,Office
NonResidential,Large Office,greater duwamish,2007,1,28381,130550,12.0,72.19999695,0.62,Électricité,98134.0,71354,Office
NonResidential,Large Office,magnolia / queen anne,1978,1,0,105100,1.0,214.8000031,3.4,Électricité,98119.0,76662,Office
NonResidential,Supermarket / Grocery Store,magnolia / queen anne,2008,1,0,57176,31.0,214.1000061,0.0,Mixte,98119.0,76662,Supermarket/Grocery Store
NonResidential,Retail Store,magnolia / queen anne,1978,1,0,50660,51.0,58.40000153,1.2,Électricité & GazNaturel,98121.0,76662,Retail Store
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,1937,2,0,61929,59.0,60.70000076,0.9,Électricité & GazNaturel,98119.0,76662,Office
NonResidential,Large Office,magnolia / queen anne,2000,4,55000,110111,1.0,231.3999939,1.08,Électricité,98119.0,76662,Office
NonResidential,Small- and Mid-Sized Office,downtown,1925,3,0,20565,65.0,40.40000153,0.27,Électricité,98121.0,6540,Office
NonResidential,Large Office,magnolia / queen anne,2000,5,55971,103966,63.0,73.80000305,0.34,Électricité,98119.0,76662,Office
NonResidential,Large Office,magnolia / queen anne,2008,5,46763,137201,56.0,108.3000031,0.56,Électricité,98119.0,76662,Office
NonResidential,Large Office,magnolia / queen anne,1986,5,78848,129362,95.0,52.70000076,0.56,Électricité & GazNaturel,98119.0,76662,Office
NonResidential,Large Office,downtown,1986,7,80283,197203,63.0,65.90000153,0.32,Électricité,98121.0,76662,Office
NonResidential,Large Office,downtown,1993,3,0,187130,77.0,54.59999847,0.37,Électricité,98121.0,76662,Office
NonResidential,Large Office,downtown,2000,5,117867,133177,99.0,123.6999969,0.48,Électricité,98121.0,76662,Office
NonResidential,Warehouse,downtown,1912,5,0,154330,81.0,14.80000019,0.06,Électricité,98101.0,76662,Non-Refrigerated Warehouse
NonResidential,Large Office,downtown,1918,6,14690,93555,,47.5,0.46,Électricité,98006.0,76662,Office
NonResidential,Large Office,downtown,1905,6,0,167860,70.0,53.90000153,0.28,Électricité,98104.0,76662,Office
NonResidential,Large Office,downtown,1910,6,0,112560,86.0,54.59999847,0.87,Électricité,98104.0,76662,Office
NonResidential,Retail Store,downtown,1910,6,0,86204,89.0,45.0,0.8,Électricité & GazNaturel,98104.0,76662,Other
Nonresidential COS,Warehouse,greater duwamish,1985,2,0,145158,51.0,53.70000076,0.82,Électricité,98134.0,76662,Non-Refrigerated Warehouse
NonResidential,Large Office,greater duwamish,1951,2,0,112896,66.0,95.90000153,1.39,Électricité,98134.0,76662,Office
NonResidential,Distribution Center,greater duwamish,1960,1,0,110613,95.0,9.199999809,0.06,Électricité,98134.0,76662,Distribution Center
NonResidential,Warehouse,greater duwamish,1951,4,0,149881,97.0,19.10000038,0.64,GazNaturel,98103.0,76662,Non-Refrigerated Warehouse
NonResidential,Warehouse,greater duwamish,1951,3,0,98220,12.0,50.70000076,0.77,Électricité,98121.0,76662,Non-Refrigerated Warehouse
NonResidential,Distribution Center,greater duwamish,1970,1,0,84420,55.0,35.40000153,0.24,Électricité,98134.0,76662,Distribution Center
NonResidential,Distribution Center,greater duwamish,1961,1,0,73335,,74.5,2.12,Électricité & GazNaturel,98134.0,76662,Distribution Center
NonResidential,Distribution Center,greater duwamish,1928,2,0,56876,,35.40000153,0.85,Électricité & GazNaturel,98134.0,76662,Distribution Center
NonResidential,Warehouse,greater duwamish,1931,2,0,61200,16.0,86.40000153,2.92,GazNaturel & Électricité,98134.0,76662,Non-Refrigerated Warehouse
NonResidential,Distribution Center,greater duwamish,1987,1,0,111908,87.0,15.30000019,0.31,Électricité & GazNaturel,98134.0,76662,Distribution Center
NonResidential,Other,greater duwamish,1986,2,0,63644,,113.4000015,2.65,Électricité & GazNaturel,98134.0,76662,Other - Public Services
NonResidential,Mixed Use Property,greater duwamish,1930,2,18860,89893,,34.20000076,0.23,Électricité,98134.0,76662,Non-Refrigerated Warehouse
NonResidential,Supermarket / Grocery Store,northwest,1970,1,35545,106345,91.0,103.0,2.07,Électricité,98117.0,92319,Supermarket/Grocery Store
NonResidential,Small- and Mid-Sized Office,ballard,2001,4,21055,71037,5.0,68.69999695,0.36,Électricité,98107.0,27683,Office
NonResidential,Warehouse,magnolia / queen anne,1974,3,0,56259,,47.70000076,1.54,GazNaturel & Électricité,98199.0,27711,Non-Refrigerated Warehouse
NonResidential,Other,northeast,2006,6,0,143439,,215.1999969,4.95,Électricité & GazNaturel,98105.0,42074,Other
NonResidential,Large Office,lake union,2008,4,88855,113768,73.0,79.5,0.31,Électricité,98103.0,19732,Office
NonResidential,Small- and Mid-Sized Office,lake union,2000,2,25800,51374,33.0,71.0,0.5,Électricité,98103.0,19722,Office
NonResidential,Large Office,magnolia / queen anne,1998,5,0,110524,57.0,63.90000153,0.43,Électricité,98109.0,22495,Office
NonResidential,Mixed Use Property,lake union,2008,5,103650,183574,,141.6000061,1.09,Électricité,98109.0,21639,Parking
NonResidential,Laboratory,lake union,1999,4,18382,97366,,369.1000061,9.98,GazNaturel & Électricité,98102.0,21639,Laboratory
NonResidential,Large Office,magnolia / queen anne,2000,7,84689,157186,88.0,53.5,0.28,Électricité,98119.0,19892,Office
NonResidential,Large Office,magnolia / queen anne,1974,5,18720,84210,85.0,56.5,0.63,Électricité,98109.0,19892,Office
NonResidential,Small- and Mid-Sized Office,downtown,1902,3,0,76893,,115.6999969,3.38,Électricité & GazNaturel,98121.0,76662,Office
NonResidential,Large Office,downtown,1975,8,23630,126370,65.0,77.69999695,0.8,Électricité,98121.0,6560,Office
NonResidential,Large Office,downtown,1953,7,0,274362,82.0,60.40000153,0.54,Électricité,98101.0,6600,Office
NonResidential,Large Office,downtown,1983,15,116280,261722,85.0,67.5,0.65,Électricité,98121.0,6970,Office
NonResidential,Large Office,downtown,1963,11,0,169020,83.0,68.69999695,2.05,Mixte,98121.0,6590,Office
NonResidential,Other,downtown,1981,33,0,429405,98.0,639.7999878,4.48,Électricité,98121.0,6590,Data Center
NonResidential,Large Office,downtown,1985,76,319400,1632820,86.0,55.09999847,0.45,Électricité,98104.0,9420,Office
NonResidential,Large Office,downtown,1981,19,89778,293737,90.0,49.0,0.29,Électricité,98101.0,6590,Office
NonResidential,Medical Office,downtown,1925,18,28870,335064,68.0,76.30000305,1.6,Électricité,98101.0,6590,Medical Office
NonResidential,Retail Store,downtown,1929,4,0,78920,80.0,105.1999969,1.39,Électricité,98101.0,19767,Retail Store
NonResidential,Large Office,downtown,1979,7,87160,43983,93.0,,0.83,Électricité,98121.0,19772,Office
NonResidential,Other,downtown,1999,0,0,947987,,62.09999847,0.34,Électricité,98101.0,66004,Other - Mall
NonResidential,Mixed Use Property,east,1908,4,0,55520,,70.30000305,2.72,GazNaturel,98122.0,60035,Office
NonResidential,Large Office,downtown,1908,10,0,132998,97.0,29.20000076,1.01,Électricité & Vapeur,98101.0,19772,Office
NonResidential,Retail Store,downtown,1940,3,0,83118,59.0,56.29999924,0.33,Électricité,98101.0,19757,Retail Store
NonResidential,Retail Store,downtown,1924,3,0,77555,39.0,106.0999985,0.7,Électricité,98101.0,19757,Retail Store
NonResidential,Small- and Mid-Sized Office,downtown,1909,6,0,51218,57.0,55.5,0.39,Électricité,98121.0,76662,Office
NonResidential,Large Office,downtown,1970,29,0,489182,43.0,96.40000153,0.87,Électricité,98101.0,24,Office
NonResidential,Large Office,downtown,1929,27,13320,203251,62.0,91.90000153,2.95,Électricité & Vapeur,98101.0,19752,Office
NonResidential,Large Office,downtown,1921,13,0,189175,13.0,115.8000031,0.7,Électricité,98104.0,19752,Office
NonResidential,Large Office,downtown,1998,13,74481,219322,25.0,118.6999969,0.41,Électricité,98104.0,9390,Office
NonResidential,Large Office,downtown,1910,7,0,122356,91.0,41.90000153,0.34,Électricité,98101.0,76662,Office
NonResidential,Small- and Mid-Sized Office,downtown,1921,3,0,52298,89.0,40.59999847,0.26,Électricité,98104.0,9390,Office
NonResidential,Large Office,downtown,1911,17,0,116640,75.0,73.59999847,1.45,Électricité,98101.0,9390,Office
NonResidential,Large Office,downtown,1981,42,201121,1047934,95.0,39.59999847,0.21,Électricité,98104.0,9420,Office
NonResidential,Medical Office,east,1988,5,99314,89025,15.0,104.9000015,0.47,Électricité,98104.0,85909,Medical Office
NonResidential,University,central,1916,2,0,60122,,12.39999962,0.15,Électricité,98122.0,22545,College/University
NonResidential,Small- and Mid-Sized Office,downtown,1910,6,13700,81300,83.0,50.5,0.33,Électricité,98104.0,76662,Office
NonResidential,Large Office,downtown,1971,9,0,224857,79.0,78.80000305,1.74,Électricité,98104.0,9420,Office
NonResidential,Large Office,downtown,1998,8,124788,321473,96.0,39.5,0.21,Électricité,98104.0,52478,Office
NonResidential,Other,greater duwamish,1939,2,0,58492,,31.60000038,0.88,GazNaturel & Électricité,98104.0,76662,Other
NonResidential,Small- and Mid-Sized Office,greater duwamish,1907,6,0,62370,30.0,72.69999695,0.49,Électricité,98134.0,76662,Office
NonResidential,Warehouse,greater duwamish,1960,1,0,73296,83.0,34.79999924,1.0,GazNaturel & Électricité,98134.0,76662,Non-Refrigerated Warehouse
Nonresidential COS,Other,greater duwamish,1944,4,0,99122,,146.5,1.81,Électricité,98134.0,76662,Other
NonResidential,Other,greater duwamish,1985,1,0,66133,,84.80000305,1.36,Électricité,98134.0,76662,Other
NonResidential,Warehouse,greater duwamish,1952,2,0,115668,,33.59999847,0.96,GazNaturel & Électricité,98134.0,76662,Non-Refrigerated Warehouse
NonResidential,Other,greater duwamish,1970,1,0,141686,,44.79999924,0.33,Électricité,98108.0,73766,Other
NonResidential,Small- and Mid-Sized Office,greater duwamish,1950,1,0,93610,95.0,65.0,1.63,Électricité & GazNaturel,98134.0,35737,Office
NonResidential,Large Office,greater duwamish,1973,2,0,156188,67.0,50.59999847,0.39,Électricité,98108.0,27381,Office
NonResidential,Warehouse,greater duwamish,1966,1,0,115620,11.0,34.29999924,0.12,Électricité,98108.0,27381,Non-Refrigerated Warehouse
NonResidential,Large Office,greater duwamish,1975,5,0,238148,93.0,43.90000153,0.32,Électricité,98108.0,53672,Office
NonResidential,Distribution Center,greater duwamish,1969,1,0,71718,100.0,2.099999905,0.01,Électricité,98108.0,53672,Distribution Center
NonResidential,Warehouse,greater duwamish,1969,1,0,55450,31.0,87.30000305,2.37,GazNaturel & Électricité,98108.0,29240,Non-Refrigerated Warehouse
NonResidential,Distribution Center,greater duwamish,1979,1,0,54880,32.0,54.79999924,1.63,GazNaturel & Électricité,98108.0,32240,Distribution Center
NonResidential,Retail Store,delridge,1992,1,0,102500,81.0,77.69999695,1.55,Électricité & GazNaturel,98126.0,36240,Retail Store
NonResidential,Other,northeast,2002,6,272900,88498,,111.4000015,0.33,Électricité,98105.0,9250,Parking
NonResidential,Supermarket / Grocery Store,greater duwamish,1963,1,0,50785,57.0,277.2999878,3.85,Électricité & GazNaturel,98144.0,52603,Supermarket/Grocery Store
NonResidential,Small- and Mid-Sized Office,delridge,1929,3,0,85126,1.0,467.0,1.95,Électricité,98106.0,53672,Office
NonResidential,Other,north,2000,5,19820,283435,,36.5,0.33,Électricité,98125.0,29260,Parking
NonResidential,Distribution Center,greater duwamish,1986,1,0,411584,43.0,41.70000076,1.11,GazNaturel & Électricité,98134.0,76662,Distribution Center
NonResidential,Mixed Use Property,downtown,1902,4,0,73320,,23.0,0.4,Électricité & GazNaturel,98104.0,52478,Non-Refrigerated Warehouse
NonResidential,Large Office,magnolia / queen anne,2008,4,100176,142510,77.0,65.0,0.28,Électricité,98119.0,38799,Office
NonResidential,Small- and Mid-Sized Office,downtown,1900,6,15840,79920,83.0,58.29999924,0.78,Électricité,98104.0,52478,Office
NonResidential,Warehouse,greater duwamish,1946,1,0,179413,57.0,19.39999962,0.13,Électricité,98134.0,18240,Non-Refrigerated Warehouse
NonResidential,Warehouse,greater duwamish,1917,1,0,65288,,8.600000381,0.06,Électricité,98134.0,76662,Non-Refrigerated Warehouse
NonResidential,Warehouse,delridge,1966,1,0,170632,98.0,3.599999905,0.02,Électricité,98106.0,76667,Non-Refrigerated Warehouse
NonResidential,Large Office,magnolia / queen anne,1994,10,0,381511,87.0,52.29999924,0.28,Électricité,98109.0,88079,Office
NonResidential,Large Office,downtown,2009,17,138098,275166,91.0,46.09999847,0.23,Électricité,98104.0,9420,Office
NonResidential,Mixed Use Property,northeast,2009,6,54300,68100,63.0,70.69999695,0.65,Électricité,98105.0,11420,Office
NonResidential,Retail Store,northeast,1956,2,0,93803,,59.90000153,1.18,Électricité,98105.0,9250,Retail Store
NonResidential,Warehouse,greater duwamish,1966,2,0,123000,47.0,21.89999962,0.17,Électricité,98118.0,3230,Non-Refrigerated Warehouse
NonResidential,Medical Office,east,2003,5,112980,162150,70.0,55.90000153,0.25,Électricité,98122.0,85909,Medical Office
NonResidential,Warehouse,greater duwamish,1978,1,0,60448,90.0,19.29999924,0.45,Électricité & GazNaturel,98136.0,3230,Non-Refrigerated Warehouse
NonResidential,Hospital,east,1994,14,0,1765970,54.0,180.5,6.97,Électricité & Vapeur,98122.0,19782,Hospital (General Medical & Surgical)
NonResidential,Other,magnolia / queen anne,1928,4,0,62600,,58.70000076,6.49,GazNaturel & Électricité,98121.0,19922,Other
NonResidential,Mixed Use Property,east,2004,4,21612,55800,,60.09999847,0.27,Électricité,98122.0,21976,Other
NonResidential,Medical Office,east,1990,5,159157,130262,59.0,87.69999695,0.46,Électricité,98122.0,21976,Medical Office
NonResidential,Other,north,1987,5,0,90266,18.0,90.80000305,0.6,Électricité,98115.0,24349,Financial Office
NonResidential,Warehouse,ballard,2004,4,6458,80874,87.0,13.60000038,0.17,Électricité,98107.0,25160,Non-Refrigerated Warehouse
NonResidential,Hotel,east,2003,6,50017,100528,28.0,138.8999939,3.01,GazNaturel & Électricité,98122.0,19782,Hotel
NonResidential,Other,magnolia / queen anne,1999,5,0,141718,,135.8000031,2.41,Électricité,98109.0,19912,Other - Entertainment/Public Assembly
NonResidential,Hotel,magnolia / queen anne,2008,5,21273,90583,8.0,98.90000153,2.49,Électricité & GazNaturel,98109.0,54578,Hotel
NonResidential,Warehouse,east,1988,4,0,132828,83.0,8.199999809,0.06,Électricité,98122.0,60035,Non-Refrigerated Warehouse
NonResidential,Warehouse,delridge,1970,1,0,70400,1.0,200.6999969,4.03,Électricité,98106.0,30240,Non-Refrigerated Warehouse
NonResidential,Retail Store,northwest,1995,1,0,101830,60.0,87.69999695,2.9,Électricité & GazNaturel,98133.0,30260,Retail Store
NonResidential,University,central,1974,4,0,114000,,66.40000153,0.96,Électricité,98144.0,36461,College/University
SPS-District K-12,Other,greater duwamish,2002,3,0,338063,,61.70000076,0.77,Électricité,98124.0,76662,Other
NonResidential,Warehouse,southwest,1965,1,0,152365,88.0,6.900000095,0.09,Électricité,98053.0,76667,Non-Refrigerated Warehouse
NonResidential,Medical Office,central,1910,6,0,320946,57.0,79.30000305,0.59,Électricité,98122.0,79426,Medical Office
NonResidential,Retail Store,greater duwamish,1958,1,0,74178,,75.69999695,1.82,Électricité & GazNaturel,98108.0,27381,Retail Store
NonResidential,Warehouse,north,1987,4,0,80360,96.0,9.399999619,0.2,Électricité & GazNaturel,98125.0,89020,Non-Refrigerated Warehouse
NonResidential,Supermarket / Grocery Store,east,1996,3,0,119190,71.0,225.5,2.24,Électricité & GazNaturel,98122.0,31486,Supermarket/Grocery Store
NonResidential,Other,greater duwamish,2008,2,0,51856,,37.29999924,0.26,Électricité,98134.0,76662,Automobile Dealership
NonResidential,Mixed Use Property,greater duwamish,1921,3,12586,53552,3.0,139.8000031,0.75,Électricité,98134.0,76662,Office
NonResidential,Large Office,northeast,1960,3,48510,65434,1.0,273.2000122,1.13,Électricité,98105.0,88164,Office
NonResidential,Low-Rise Multifamily,lake union,2000,3,36093,56986,32.0,23.0,0.28,Électricité,98103.0,3540,Multifamily Housing
NonResidential,Worship Facility,northeast,1957,2,0,22220,90.0,40.09999847,1.43,GazNaturel,98115.0,4310,Worship Facility
NonResidential,Mixed Use Property,greater duwamish,1962,1,0,44700,,45.40000153,0.68,Électricité,98108.0,18,Office
NonResidential,Warehouse,greater duwamish,1976,1,0,44100,1.0,42.29999924,0.26,Électricité,98108.0,18,Non-Refrigerated Warehouse
NonResidential,Distribution Center,greater duwamish,1965,1,0,27800,13.0,48.09999847,0.88,Électricité,98108.0,18,Distribution Center
NonResidential,Warehouse,greater duwamish,2001,1,0,46340,3.0,55.29999924,0.39,Électricité,98134.0,50,Non-Refrigerated Warehouse
Campus,Other,greater duwamish,1994,1,0,22800,,116.6999969,4.45,GazNaturel,98155.0,52,Manufacturing/Industrial Plant
NonResidential,Small- and Mid-Sized Office,central,1910,3,0,38460,69.0,53.70000076,0.94,Électricité,98122.0,76,Office
NonResidential,Worship Facility,northwest,1922,2,0,21022,54.0,51.29999924,2.09,GazNaturel,98103.0,910,Worship Facility
NonResidential,Distribution Center,greater duwamish,1967,1,0,48001,49.0,52.0,1.8,GazNaturel,98118.0,3230,Distribution Center
NonResidential,Warehouse,greater duwamish,1979,1,0,26380,,20.0,0.14,Électricité,98118.0,3230,Non-Refrigerated Warehouse
NonResidential,Warehouse,greater duwamish,1969,1,0,37351,10.0,72.40000153,2.06,GazNaturel & Électricité,98118.0,3230,Non-Refrigerated Warehouse
NonResidential,Warehouse,greater duwamish,1981,1,0,30375,73.0,11.39999962,0.08,Électricité,98118.0,3230,Non-Refrigerated Warehouse
NonResidential,Warehouse,greater duwamish,1979,1,0,30004,,12.60000038,0.09,Électricité,98118.0,3230,Non-Refrigerated Warehouse
NonResidential,Other,northeast,1928,3,0,39971,,283.1000061,10.41,GazNaturel & Électricité,98115.0,3250,Other
NonResidential,Worship Facility,ballard,1914,2,0,33589,90.0,18.10000038,0.65,GazNaturel,98117.0,4610,Worship Facility
NonResidential,Small- and Mid-Sized Office,ballard,1979,3,0,43500,46.0,74.0,0.52,Électricité,98107.0,4670,Office
